distance,pond_airblast_orchard,pond_airblast_vineyard,pond_ground_high_f2m,pond_ground_high_vf2f,pond_ground_low_f2m,pond_ground_low_vf2f,pond_aerial_c2vc,pond_aerial_m2c,pond_aerial_f2m,pond_aerial_vf2f
141,0.00070515,7.40E-05,0.0014905,0.0033435,0.001088,0.001851,0.0049045,0.008112,0.017405,0.06145
142,0.0007002,7.33E-05,0.001481,0.003316,0.001082,0.001839,0.004874,0.008073,0.01732,0.0612
143,0.0006954,7.27E-05,0.001472,0.003289,0.001076,0.0018275,0.0048445,0.0080355,0.017235,0.0609
144,0.0006906,7.21E-05,0.001463,0.003262,0.00107,0.001816,0.004815,0.007998,0.01715,0.0606
145,0.0006859,7.15E-05,0.001454,0.0032355,0.0010645,0.001805,0.0047855,0.007962,0.017065,0.06035
146,0.0006812,7.09E-05,0.001445,0.003209,0.001059,0.001794,0.004756,0.007926,0.01698,0.0601
147,0.00067665,7.03E-05,0.001436,0.003183,0.001053,0.001783,0.0047275,0.0078905,0.016905,0.05985
148,0.0006721,6.97E-05,0.001427,0.003157,0.001047,0.001772,0.004699,0.007855,0.01683,0.0596
149,0.00066765,6.91E-05,0.0014185,0.003132,0.0010415,0.0017615,0.004671,0.007821,0.01675,0.05932
150,0.0006632,6.85E-05,0.00141,0.003107,0.001036,0.001751,0.004643,0.007787,0.01667,0.05904
151,0.00065885,6.80E-05,0.0014015,0.0030825,0.0010305,0.0017405,0.004616,0.0077535,0.016595,0.05877
152,0.0006545,6.74E-05,0.001393,0.003058,0.001025,0.00173,0.004589,0.00772,0.01652,0.0585
153,0.0006503,6.69E-05,0.0013845,0.003034,0.0010195,0.0017195,0.0045625,0.0076875,0.016445,0.05828
154,0.0006461,6.63E-05,0.001376,0.00301,0.001014,0.001709,0.004536,0.007655,0.01637,0.05806
155,0.00064195,6.58E-05,0.001368,0.002987,0.001009,0.001699,0.00451,0.007623,0.0163,0.05783
156,0.0006378,6.53E-05,0.00136,0.002964,0.001004,0.001689,0.004484,0.007591,0.01623,0.0576
157,0.00063375,6.48E-05,0.001352,0.002941,0.00099875,0.001679,0.004459,0.00756,0.016155,0.05735
158,0.0006297,6.42E-05,0.001344,0.002918,0.0009935,0.001669,0.004434,0.007529,0.01608,0.0571
159,0.0006258,6.37E-05,0.0013365,0.002896,0.00098845,0.0016595,0.004409,0.0074985,0.016015,0.0569
160,0.0006219,6.32E-05,0.001329,0.002874,0.0009834,0.00165,0.004384,0.007468,0.01595,0.0567
161,0.00061805,6.27E-05,0.001321,0.002852,0.0009784,0.0016405,0.00436,0.0074385,0.01588,0.05647
162,0.0006142,6.22E-05,0.001313,0.00283,0.0009734,0.001631,0.004336,0.007409,0.01581,0.05624
163,0.00061045,6.18E-05,0.0013055,0.002809,0.00096855,0.0016215,0.004313,0.0073805,0.015745,0.05602
164,0.0006067,6.13E-05,0.001298,0.002788,0.0009637,0.001612,0.00429,0.007352,0.01568,0.0558
165,0.00060305,6.08E-05,0.001291,0.002767,0.0009589,0.001603,0.004267,0.007324,0.015615,0.0556
166,0.0005994,6.04E-05,0.001284,0.002746,0.0009541,0.001594,0.004244,0.007296,0.01555,0.0554
167,0.0005958,5.99E-05,0.0012765,0.002726,0.0009494,0.001585,0.004222,0.007269,0.01549,0.05515
168,0.0005922,5.94E-05,0.001269,0.002706,0.0009447,0.001576,0.0042,0.007242,0.01543,0.0549
169,0.0005887,5.90E-05,0.001262,0.002686,0.00094005,0.0015675,0.0041785,0.007215,0.01537,0.0547
170,0.0005852,5.86E-05,0.001255,0.002666,0.0009354,0.001559,0.004157,0.007188,0.01531,0.0545
171,0.0005818,5.81E-05,0.001248,0.002647,0.00093085,0.0015505,0.004136,0.007162,0.01525,0.054315
172,0.0005784,5.77E-05,0.001241,0.002628,0.0009263,0.001542,0.004115,0.007136,0.01519,0.05413
173,0.00057505,5.73E-05,0.001234,0.002609,0.00092185,0.0015335,0.004095,0.0071105,0.01513,0.053915
174,0.0005717,5.68E-05,0.001227,0.00259,0.0009174,0.001525,0.004075,0.007085,0.01507,0.0537
175,0.0005684,5.64E-05,0.0012205,0.0025715,0.00091305,0.0015165,0.004055,0.00706,0.015015,0.05355
176,0.0005651,5.60E-05,0.001214,0.002553,0.0009087,0.001508,0.004035,0.007035,0.01496,0.0534
177,0.0005619,5.56E-05,0.0012075,0.0025345,0.0009044,0.0015,0.004016,0.0070105,0.014905,0.0532
178,0.0005587,5.52E-05,0.001201,0.002516,0.0009001,0.001492,0.003997,0.006986,0.01485,0.053
179,0.00055555,5.48E-05,0.0011945,0.0024985,0.00089585,0.001484,0.0039785,0.0069625,0.014795,0.0528
180,0.0005524,5.44E-05,0.001188,0.002481,0.0008916,0.001476,0.00396,0.006939,0.01474,0.0526
181,0.00054935,5.40E-05,0.0011815,0.0024635,0.00088745,0.0014685,0.003942,0.0069155,0.01469,0.05245
182,0.0005463,5.37E-05,0.001175,0.002446,0.0008833,0.001461,0.003924,0.006892,0.01464,0.0523
183,0.0005433,5.33E-05,0.001169,0.002429,0.0008792,0.001453,0.0039065,0.0068695,0.01459,0.0521
184,0.0005403,5.29E-05,0.001163,0.002412,0.0008751,0.001445,0.003889,0.006847,0.01454,0.0519
185,0.00053735,5.25E-05,0.001157,0.0023955,0.0008711,0.0014375,0.003872,0.0068245,0.01449,0.05175
186,0.0005344,5.22E-05,0.001151,0.002379,0.0008671,0.00143,0.003855,0.006802,0.01444,0.0516
187,0.0005315,5.18E-05,0.001145,0.002363,0.0008631,0.0014225,0.0038385,0.00678,0.01439,0.0514
188,0.0005286,5.14E-05,0.001139,0.002347,0.0008591,0.001415,0.003822,0.006758,0.01434,0.0512
189,0.00052575,5.11E-05,0.001133,0.002331,0.00085525,0.001408,0.003806,0.006737,0.014295,0.05105
190,0.0005229,5.07E-05,0.001127,0.002315,0.0008514,0.001401,0.00379,0.006716,0.01425,0.0509
191,0.00052015,5.04E-05,0.001121,0.0022995,0.00084755,0.001394,0.0037745,0.006695,0.014205,0.05075
192,0.0005174,5.00E-05,0.001115,0.002284,0.0008437,0.001387,0.003759,0.006674,0.01416,0.0506
193,0.00051465,4.97E-05,0.0011095,0.0022685,0.00083995,0.00138,0.003744,0.0066535,0.014115,0.05045
194,0.0005119,4.94E-05,0.001104,0.002253,0.0008362,0.001373,0.003729,0.006633,0.01407,0.0503
195,0.00050925,4.90E-05,0.0010985,0.002238,0.0008325,0.001366,0.0037145,0.006613,0.014025,0.05015
196,0.0005066,4.87E-05,0.001093,0.002223,0.0008288,0.001359,0.0037,0.006593,0.01398,0.05
197,0.000504,4.84E-05,0.0010875,0.0022085,0.00082515,0.001352,0.0036855,0.0065735,0.013935,0.04985
198,0.0005014,4.81E-05,0.001082,0.002194,0.0008215,0.001345,0.003671,0.006554,0.01389,0.0497
199,0.0004988,4.77E-05,0.0010765,0.0021795,0.0008179,0.0013385,0.0036575,0.006535,0.01385,0.04955
200,0.0004962,4.74E-05,0.001071,0.002165,0.0008143,0.001332,0.003644,0.006516,0.01381,0.0494
201,0.0004936,4.71E-05,0.0010655,0.0021505,0.0008107,0.0013255,0.0036305,0.006497,0.01377,0.04925
202,0.000491,4.68E-05,0.00106,0.002136,0.0008071,0.001319,0.003617,0.006478,0.01373,0.0491
203,0.0004884,4.65E-05,0.0010545,0.0021215,0.0008035,0.0013125,0.0036035,0.006459,0.01369,0.04895
204,0.0004858,4.62E-05,0.001049,0.002107,0.0007999,0.001306,0.00359,0.00644,0.01365,0.0488
205,0.0004832,4.59E-05,0.0010435,0.0020925,0.0007963,0.0012995,0.0035765,0.006421,0.01361,0.04865
206,0.0004806,4.55E-05,0.001038,0.002078,0.0007927,0.001293,0.003563,0.006402,0.01357,0.0485
207,0.000478,4.52E-05,0.0010325,0.0020635,0.0007891,0.0012865,0.0035495,0.006383,0.01353,0.04835
208,0.0004754,4.49E-05,0.001027,0.002049,0.0007855,0.00128,0.003536,0.006364,0.01349,0.0482
209,0.0004728,4.46E-05,0.0010215,0.0020345,0.0007819,0.0012735,0.0035225,0.006345,0.01345,0.04805
210,0.0004702,4.43E-05,0.001016,0.00202,0.0007783,0.001267,0.003509,0.006326,0.01341,0.0479
211,0.0004676,4.40E-05,0.0010105,0.0020055,0.0007747,0.0012605,0.0034955,0.006307,0.01337,0.04775
212,0.000465,4.37E-05,0.001005,0.001991,0.0007711,0.001254,0.003482,0.006288,0.01333,0.0476
213,0.0004624,4.33E-05,0.0009995,0.0019765,0.0007675,0.0012475,0.0034685,0.006269,0.01329,0.04745
214,0.0004598,4.30E-05,0.000994,0.001962,0.0007639,0.001241,0.003455,0.00625,0.01325,0.0473
215,0.0004572,4.27E-05,0.0009885,0.0019475,0.0007603,0.0012345,0.0034415,0.006231,0.01321,0.04715
216,0.0004546,4.24E-05,0.000983,0.001933,0.0007567,0.001228,0.003428,0.006212,0.01317,0.047
217,0.000452,4.21E-05,0.0009775,0.0019185,0.0007531,0.0012215,0.0034145,0.006193,0.01313,0.04685
