distance_ft,aerial_vf2f,aerial_f2m,aerial_m2c,aerial_c2vc,ground_low_vf,ground_low_fmc,ground_high_vf,ground_high_fmc,airblast_normal,airblast_dense,airblast_sparse,airblast_vineyard,airblast_orchard
793.9536,0.047688,0.013288,0.006096,0.0035837,1.26E-03,7.75E-04,2.01E-03,1.01E-03,5.28E-05,5.89E-04,9.05E-05,4.39E-05,4.68E-04
800.5152,0.047385,0.013223,0.0060653,0.0035658,1.25E-03,7.69E-04,1.98E-03,1.00E-03,5.22E-05,5.84E-04,8.87E-05,4.34E-05,4.64E-04
807.0768,0.047126,0.01316,0.0060347,0.0035481,1.24E-03,7.63E-04,1.96E-03,9.93E-04,5.16E-05,5.79E-04,8.69E-05,4.29E-05,4.59E-04
813.6384,0.046852,0.013099,0.006004,0.0035298,1.22E-03,7.56E-04,1.93E-03,9.83E-04,5.11E-05,5.74E-04,8.52E-05,4.23E-05,4.55E-04
820.2,0.046598,0.01304,0.0059736,0.0035108,1.21E-03,7.50E-04,1.91E-03,9.74E-04,5.05E-05,5.69E-04,8.35E-05,4.18E-05,4.51E-04
826.7616,0.046365,0.012983,0.005944,0.0034915,1.20E-03,7.44E-04,1.89E-03,9.65E-04,5.00E-05,5.65E-04,8.19E-05,4.13E-05,4.46E-04
833.3232,0.046128,0.012926,0.0059151,0.0034722,1.19E-03,7.38E-04,1.86E-03,9.56E-04,4.95E-05,5.60E-04,8.03E-05,4.08E-05,4.42E-04
839.8848,0.045898,0.01287,0.0058871,0.0034537,1.18E-03,7.32E-04,1.84E-03,9.48E-04,4.89E-05,5.56E-04,7.88E-05,4.03E-05,4.38E-04
846.4464,0.045672,0.012814,0.00586,0.0034364,1.17E-03,7.26E-04,1.82E-03,9.39E-04,4.84E-05,5.51E-04,7.73E-05,3.99E-05,4.34E-04
853.008,0.045441,0.012758,0.0058333,0.0034198,1.16E-03,7.21E-04,1.80E-03,9.31E-04,4.79E-05,5.47E-04,7.58E-05,3.94E-05,4.30E-04
859.5696,0.045215,0.012703,0.0058068,0.003404,1.15E-03,7.15E-04,1.78E-03,9.22E-04,4.74E-05,5.43E-04,7.44E-05,3.89E-05,4.26E-04
866.1312,0.044994,0.012649,0.0057804,0.0033885,1.14E-03,7.10E-04,1.76E-03,9.14E-04,4.69E-05,5.38E-04,7.30E-05,3.85E-05,4.23E-04
872.6928,0.044776,0.012597,0.005754,0.0033729,1.13E-03,7.04E-04,1.74E-03,9.06E-04,4.65E-05,5.34E-04,7.16E-05,3.81E-05,4.19E-04
879.2544,0.044562,0.012547,0.0057282,0.0033573,1.12E-03,6.99E-04,1.72E-03,8.98E-04,4.60E-05,5.30E-04,7.03E-05,3.76E-05,4.15E-04
885.816,0.044349,0.012499,0.0057034,0.0033423,1.11E-03,6.93E-04,1.70E-03,8.90E-04,4.55E-05,5.26E-04,6.90E-05,3.72E-05,4.12E-04
892.3776,0.044138,0.01245,0.0056791,0.0033278,1.10E-03,6.88E-04,1.68E-03,8.82E-04,4.51E-05,5.22E-04,6.78E-05,3.68E-05,4.08E-04
898.9392,0.043932,0.012402,0.005655,0.0033136,1.09E-03,6.83E-04,1.66E-03,8.74E-04,4.46E-05,5.18E-04,6.66E-05,3.64E-05,4.05E-04
905.5008,0.043729,0.012352,0.0056313,0.0032999,1.08E-03,6.78E-04,1.64E-03,8.67E-04,4.42E-05,5.14E-04,6.54E-05,3.60E-05,4.01E-04
912.0624,0.043531,0.012302,0.0056074,0.0032863,1.07E-03,6.73E-04,1.62E-03,8.59E-04,4.37E-05,5.11E-04,6.42E-05,3.56E-05,3.98E-04
918.624,0.043339,0.012254,0.0055838,0.0032728,1.06E-03,6.68E-04,1.60E-03,8.52E-04,4.33E-05,5.07E-04,6.31E-05,3.52E-05,3.94E-04
925.1856,0.043151,0.012205,0.0055601,0.0032592,1.06E-03,6.63E-04,1.59E-03,8.45E-04,4.29E-05,5.03E-04,6.20E-05,3.48E-05,3.91E-04
931.7472,0.042965,0.012158,0.0055362,0.0032453,1.05E-03,6.58E-04,1.57E-03,8.38E-04,4.25E-05,5.00E-04,6.09E-05,3.44E-05,3.88E-04
938.3088,0.042782,0.012113,0.0055122,0.0032309,1.04E-03,6.53E-04,1.55E-03,8.31E-04,4.21E-05,4.96E-04,5.98E-05,3.41E-05,3.85E-04
944.8704,0.0426,0.012068,0.0054891,0.0032166,1.03E-03,6.48E-04,1.53E-03,8.24E-04,4.17E-05,4.92E-04,5.88E-05,3.37E-05,3.82E-04
951.432,0.042422,0.012025,0.0054665,0.0032027,1.02E-03,6.44E-04,1.52E-03,8.17E-04,4.13E-05,4.89E-04,5.78E-05,3.33E-05,3.78E-04
957.9936,0.042248,0.011982,0.0054447,0.0031893,1.01E-03,6.39E-04,1.50E-03,8.10E-04,4.09E-05,4.86E-04,5.68E-05,3.30E-05,3.75E-04
964.5552,0.042077,0.01194,0.0054239,0.0031767,1.00E-03,6.35E-04,1.49E-03,8.04E-04,4.05E-05,4.82E-04,5.58E-05,3.26E-05,3.72E-04
971.1168,0.041911,0.011899,0.0054037,0.0031649,9.97E-04,6.30E-04,1.47E-03,7.97E-04,4.02E-05,4.79E-04,5.49E-05,3.23E-05,3.69E-04
977.6784,0.041747,0.011859,0.005384,0.0031537,9.89E-04,6.26E-04,1.45E-03,7.91E-04,3.98E-05,4.75E-04,5.40E-05,3.20E-05,3.67E-04
984.24,0.041587,0.011819,0.0053644,0.0031426,9.81E-04,6.21E-04,1.44E-03,7.84E-04,3.94E-05,4.72E-04,5.31E-05,3.16E-05,3.64E-04
990.8016,0.041431,0.01178,0.0053443,0.0031311,9.73E-04,6.17E-04,1.42E-03,7.78E-04,3.91E-05,4.69E-04,5.22E-05,3.13E-05,3.61E-04
997.3632,0.041273,0.011741,0.0053241,0.0031189,9.66E-04,6.13E-04,1.41E-03,7.72E-04,3.87E-05,4.66E-04,5.14E-05,3.10E-05,3.58E-04
